"","ENTITY","TOTAL","UNIQUE","year"
"1998.1","DIA",84,84,1998
"1998.2","Italia",40,39,1998
"1998.3","Paesi",40,35,1998
"1998.4","Polizia",33,31,1998
"1998.5","Tribunale",26,26,1998
"1998.6","Direttore",22,19,1998
"1998.7","Repubblica",21,12,1998
"1998.8","Europa",21,10,1998
"1998.9","Direzione",19,14,1998
"1998.10","Catania",16,16,1998
"1998.11","Palermo",15,15,1998
"1998.12","Est",14,7,1998
"1998.13","Interno",13,13,1998
"1998.14","Giuseppe",12,2,1998
"1998.15","Spagna",10,10,1998
"1998.16","Romania",10,10,1998
"1998.17","RIINA",10,4,1998
"1998.18","Dipartimento",9,9,1998
"1998.19","Autorit‡",9,5,1998
"1998.20","Unione",9,1,1998
"1998.21","G.",8,8,1998
"1998.22","Messina",8,8,1998
"1998.23","Milano",8,8,1998
"1998.24","Albania",8,8,1998
"1998.25","Tribunali",8,8,1998
"1998.26","Reggio",8,2,1998
"1998.27","Calabria",8,2,1998
"1998.28","Bari",7,7,1998
"1998.29","Napoli",7,7,1998
"1998.30","Sicilia",7,7,1998
"1998.31","Procuratori",7,7,1998
"1998.32","Est Europa",7,7,1998
"1998.33","Ministero",7,6,1998
"1998.34","America",7,5,1998
"1998.35","Ordinamento",7,4,1998
"1998.36","Centrale",7,1,1998
"1998.37","Nazione",6,6,1998
"1998.38","Germania",6,6,1998
"1998.39","Giustizia",6,6,1998
"1998.40","Slovenia",6,6,1998
"1998.41","Firenze",6,6,1998
"1998.42","Francia",6,6,1998
"1998.43","Belgio",6,6,1998
"1998.44","Reggio Calabria",6,6,1998
"1998.45","Caltanissetta",6,6,1998
"1998.46","Repubblica Ceca",6,6,1998
"1998.47","II",6,5,1998
"1998.48","Criminalit‡",6,2,1998
"1998.49","San",6,2,1998
"1998.50","Sacra",6,2,1998
"1998.51","Alta",6,1,1998
"1998.52","Sicurezza",6,1,1998
"1998.53","Giudiziaria",6,1,1998
"1998.54","BAGARELLA",6,1,1998
"1998.55","Argentina",5,5,1998
"1998.56","Salvatore RIINA",5,5,1998
"1998.57","Unione Europea",5,5,1998
"1998.58","Alta Velocit‡",5,5,1998
"1998.59","Uniti",5,5,1998
"1998.60","Puglia",5,5,1998
"1998.61","Croazia",5,5,1998
"1998.62","NCIS",5,5,1998
"1998.63","Campania",5,4,1998
"1998.64","Cooperazione",5,4,1998
"1998.65","Unita",5,2,1998
"1998.66","Amministrazione",5,2,1998
"1998.67","National",5,1,1998
"1998.68","Ufficio",5,1,1998
"1998.69","Pubblica",5,1,1998
"1998.70","URSS",4,4,1998
"1998.71","Grazia",4,4,1998
"1998.72","Ucraina",4,4,1998
"1998.73","Camo",4,4,1998
"1998.74","Semestre",4,4,1998
"1998.75","IV",4,4,1998
"1998.76","Russia",4,4,1998
"1998.77","Pubblica Sicurezza",4,4,1998
"1998.78","Brigata",4,4,1998
"1998.79","III",4,4,1998
"1998.80","Brindisi",4,4,1998
"1998.81","Toscana",4,4,1998
"1998.82","Svizzera",4,4,1998
"1998.83","Foggia",4,4,1998
"1998.84","Veneto",4,4,1998
"1998.85","BKA",4,4,1998
"1998.86","Esagonale",4,4,1998
"1998.87","Bulgaria",4,4,1998
"1998.88","Autorit‡ Giudiziaria",4,4,1998
"1998.89","Criminalit‡ Organizzata",4,4,1998
"1998.90","C.E.",4,4,1998
"1998.91","Polonia",4,4,1998
"1998.92","Canada",4,4,1998
"1998.93","Leoluca BAGARELLA",4,4,1998
"1998.94","Casalesi",4,4,1998
"1998.95","CEE",4,4,1998
"1998.96","Istituti",4,3,1998
"1998.97","Comitato",4,2,1998
"1998.98","VITALE",4,2,1998
"1998.99","Service",4,1,1998
"1998.100","Iniziativa",4,1,1998
"1998.101","Penitenziaria",4,1,1998
"1998.102","Corte",4,1,1998
"1998.103","Direzione Centrale",3,3,1998
"1998.104","Enna",3,3,1998
"1998.105","COIR",3,3,1998
"1998.106","GUOP",3,3,1998
"1998.107","P.",3,3,1998
"1998.108","Salerno",3,3,1998
"1998.109","Bernardo",3,3,1998
"1998.110","San Giuseppe Jato",3,3,1998
"1998.111","Santo MAZZEI",3,3,1998
"1998.112","Agenzie",3,3,1998
"1998.113","Adriatico",3,3,1998
"1998.114","Vibo Valentia",3,3,1998
"1998.115","Procura",3,3,1998
"1998.116","SANDOKAN",3,3,1998
"1998.117","ONU",3,3,1998
"1998.118","Unione Sovietica",3,3,1998
"1998.119","Altofonte",3,3,1998
"1998.120","Montenegro",3,3,1998
"1998.121","Ministri",3,3,1998
"1998.122","Mediterraneo",3,3,1998
"1998.123","COBI",3,3,1998
"1998.124","GIP",3,3,1998
"1998.125","Austria",3,3,1998
"1998.126","Sacra Corona Unita",3,3,1998
"1998.127","Londra",3,3,1998
"1998.128","Lombardia",3,3,1998
"1998.129","Lecce",3,3,1998
"1998.130","Bosnia-Erzegovina",3,3,1998
"1998.131","Interpol",3,3,1998
"1998.132","Ungheria",3,3,1998
"1998.133","Guardia",3,3,1998
"1998.134","Europol",3,3,1998
"1998.135","FBI",3,3,1998
"1998.136","Paesi G",3,3,1998
"1998.137","Forze",3,3,1998
"1998.138","Colombia",3,3,1998
"1998.139","Comuni",3,3,1998
"1998.140","DNA",3,3,1998
"1998.141","Amministrazione Penitenziaria",3,3,1998
"1998.142","Direttiva",3,3,1998
"1998.143","Angelo",3,2,1998
"1998.144","Antimafia",3,2,1998
"1998.145","delI",3,2,1998
"1998.146","Centro Europa",3,2,1998
"1998.147","Federazione",3,2,1998
"1998.148","Unit‡",3,2,1998
"1998.149","Latina",3,2,1998
"1998.150","Progetto",3,2,1998
"1998.151","Nord",3,2,1998
"1998.152","Torre",3,2,1998
"1998.153","Tauro",3,1,1998
"1998.154","Macedonia",3,1,1998
"1998.155","MADONIA",3,1,1998
"1998.156","Servizio",3,1,1998
"1998.157","FRAGAPANE",3,1,1998
"1998.158","Cambi",3,1,1998
"1999.1","D.I.A.",53,53,1999
"1999.2","Italia",41,39,1999
"1999.3","Paesi",39,36,1999
"1999.4","Polizia",39,33,1999
"1999.5","Direttore",27,21,1999
"1999.6","Tribunale",23,23,1999
"1999.7","Palermo",21,21,1999
"1999.8","Unione",19,2,1999
"1999.9","DIA",18,18,1999
"1999.10","Calabria",18,8,1999
"1999.11","Direzione",16,9,1999
"1999.12","Generale",15,1,1999
"1999.13","Catania",14,14,1999
"1999.14","Giuseppe",14,3,1999
"1999.15","Adriatico",13,11,1999
"1999.16","Europa",13,10,1999
